model_year,maker,model_name,city,distance_covered (km),fuel_type,pre_owner,price (₹)
2012,Maruti,Alto K10 VXI,Mumbai,29067,Petrol,2nd Owner,165199
2011,Hyundai,i20 SPORTZ 1.2 O,Mumbai,36791,Petrol,2nd Owner,326099
2010,Maruti,A Star VXI,Mumbai,35171,Petrol,1st Owner,195199
2011,Hyundai,Santro Xing GLS,Mumbai,19908,Petrol,1st Owner,195199
2012,Hyundai,Santro Xing GLS,Mumbai,43847,Petrol,3rd Owner,203299
2016,Hyundai,Eon SPORTZ,Mumbai,21303,Petrol,1st Owner,291299
2010,Maruti,Alto K10 VXI,Mumbai,50742,Petrol,2nd Owner,170399
2015,Maruti,Alto K10 VXI,Mumbai,12657,Petrol,1st Owner,282299
2013,Maruti,Wagon R 1.0 LXI,Mumbai,13688,Petrol,1st Owner,326199
2014,Hyundai,i10 MAGNA 1.1 IRDE2,Mumbai,13068,Petrol,1st Owner,369699
2009,Maruti,Swift Dzire VXI,Mumbai,42533,Petrol,2nd Owner,274899
2012,Honda,Brio 1.2 S MT I VTEC,Mumbai,19373,Petrol,1st Owner,317699
2015,Maruti,Swift Dzire VXI 1.2 BS IV,Mumbai,23070,Petrol,2nd Owner,478799
2011,Toyota,Etios Liva G,Mumbai,36419,Petrol,2nd Owner,249699
2011,Maruti,Wagon R 1.0 VXI,Mumbai,18514,Petrol,1st Owner,269399
2013,Honda,Brio 1.2 S MT I VTEC,Mumbai,20609,Petrol,1st Owner,324699
2012,Maruti,Wagon R 1.0 LXI,Mumbai,20712,Petrol,2nd Owner,258399
2010,Maruti,Alto LXI,Mumbai,34995,Petrol,1st Owner,165999
2011,Toyota,Etios Liva G,Mumbai,21763,Petrol,1st Owner,267999
2012,Maruti,Wagon R 1.0 VXI,Mumbai,39652,Petrol,3rd Owner,288299
2012,Maruti,Zen Estilo LXI,Mumbai,39359,Petrol,2nd Owner,184699
2014,Maruti,Wagon R 1.0 VXI,Mumbai,6858,Petrol,1st Owner,358399
2011,Hyundai,i10 MAGNA 1.2 KAPPA2,Mumbai,43411,Petrol,2nd Owner,242999
2013,Maruti,Wagon R 1.0 VXI,Mumbai,17781,Petrol,1st Owner,302399
2012,Maruti,Wagon R 1.0 LXI CNG,Mumbai,41964,Petrol + CNG,2nd Owner,254699
2012,Maruti,Wagon R 1.0 VXI,Mumbai,25748,Petrol,2nd Owner,270599
2013,Ford,Figo 1.2 ZXI DURATEC,Mumbai,22618,Petrol,2nd Owner,243099
2014,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,Mumbai,18534,Petrol,2nd Owner,339099
2012,Maruti,Swift ZXI,Mumbai,50581,Petrol,1st Owner,406299
2010,Volkswagen,Jetta TRENDLINE 1.6,Mumbai,54780,Petrol,1st Owner,326399
2014,Hyundai,i10 SPORTZ 1.1 IRDE2,Mumbai,24244,Petrol,2nd Owner,273299
2011,Toyota,Etios G,Mumbai,48910,Petrol,1st Owner,330599
2008,Hyundai,Santro Xing GLS,Mumbai,29111,Petrol,1st Owner,138499
2016,Maruti,Celerio ZXI AMT,Mumbai,26772,Petrol,1st Owner,409499
2015,Maruti,Alto 800 VXI,Mumbai,8322,Petrol,1st Owner,286399
2011,Hyundai,i10 MAGNA 1.2 KAPPA2,Mumbai,39413,Petrol,1st Owner,255199
2012,Maruti,Swift VXI,Mumbai,47260,Petrol,1st Owner,364799
2012,Maruti,Swift VDI,Mumbai,50525,Diesel,1st Owner,376799
2011,Maruti,Alto K10 VXI,Mumbai,47057,Petrol,1st Owner,199299
2012,Maruti,Wagon R 1.0 LXI,Mumbai,48921,Petrol,1st Owner,269699
2013,Maruti,Wagon R 1.0 LXI,Mumbai,24065,Petrol,1st Owner,312999
2015,Hyundai,Grand i10 SPORTS 1.2 VTVT,Mumbai,9307,Petrol,1st Owner,417699
2011,Maruti,Wagon R 1.0 VXI,Mumbai,36253,Petrol,1st Owner,268699
2010,Hyundai,i10 SPORTZ 1.2 KAPPA2,Mumbai,28925,Petrol,2nd Owner,226799
2012,Hyundai,i10 MAGNA 1.2 KAPPA2,Mumbai,50107,Petrol,3rd Owner,243699
2014,Honda,Amaze 1.2 SMT I VTEC,Mumbai,24048,Petrol,1st Owner,441199
2012,Honda,Brio 1.2 S MT I VTEC,Mumbai,42049,Petrol,1st Owner,319099
2011,Maruti,Ritz VXI BS IV,Mumbai,40420,Petrol,1st Owner,242199
2013,Maruti,Alto 800 LXI,Mumbai,26848,Petrol,1st Owner,239399
2012,Hyundai,i10 SPORTZ 1.2 AT KAPPA2,Mumbai,48978,Petrol,3rd Owner,275899
2015,Maruti,Wagon R 1.0 VXI,Mumbai,9357,Petrol,1st Owner,337699
2013,Honda,Amaze 1.2 SMT I VTEC,Mumbai,45594,Petrol,2nd Owner,365599
2010,Hyundai,i20 ASTA 1.2,Mumbai,38409,Petrol,3rd Owner,239899
2014,Maruti,Alto K10 LXI,Mumbai,37168,Petrol,3rd Owner,204999
2014,Maruti,Celerio VXI,Mumbai,22957,Petrol,1st Owner,337899
2015,Maruti,Celerio VXI AMT,Mumbai,18492,Petrol,2nd Owner,360399
2013,Honda,Amaze 1.2 SMT I VTEC,Mumbai,47239,Petrol,2nd Owner,388899
2012,Hyundai,i10 MAGNA 1.2 KAPPA2,Mumbai,39357,Petrol,1st Owner,282099
2010,Hyundai,i10 MAGNA 1.2 KAPPA2,Mumbai,41923,Petrol,2nd Owner,227299
2012,Maruti,Wagon R 1.0 VXI,Mumbai,24255,Petrol,1st Owner,275099
2016,Maruti,Alto K10 VXI AMT,Mumbai,25943,Petrol,1st Owner,312699
2020,KIA,SELTOS GTX + AT PETROL,Mumbai,2863,Petrol,1st Owner,1824299
2014,Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,Mumbai,37891,Petrol,2nd Owner,361699
2013,Honda,Amaze 1.2 SMT I VTEC,Mumbai,44929,Petrol,1st Owner,371499
2017,Maruti,Alto 800 LXI,Mumbai,25919,Petrol,2nd Owner,262599
2014,Toyota,Etios Liva G,Mumbai,52146,Petrol,2nd Owner,296099
2015,Maruti,Wagon R 1.0 LXI CNG,Mumbai,6799,Petrol + CNG,1st Owner,356199
2016,Mahindra,Kuv100 K6+ 6 STR,Mumbai,39793,Petrol,1st Owner,372099
2010,Maruti,Wagon R VXI,Mumbai,33318,Petrol,1st Owner,243899
2014,Hyundai,Grand i10 SPORTS 1.2 VTVT,Mumbai,42967,Petrol,2nd Owner,369099
2014,Hyundai,Grand i10 SPORTS 1.2 VTVT,Mumbai,35944,Petrol,1st Owner,380999
2012,Maruti,Swift VXI,Mumbai,63871,Petrol,1st Owner,340599
2014,Maruti,Celerio ZXI OPT,Mumbai,30338,Petrol,1st Owner,346599
2015,Hyundai,Grand i10 ASTA 1.2 (O) VTVT,Mumbai,27165,Petrol,1st Owner,402999
2012,Maruti,Wagon R 1.0 VXI,Mumbai,53558,Petrol,1st Owner,273399
2009,Hyundai,i20 MAGNA 1.2 VTVT,Mumbai,22897,Petrol,1st Owner,234699
2011,Hyundai,i20 MAGNA O 1.2,Mumbai,56869,Petrol,1st Owner,305499
2019,Maruti,Baleno DELTA 1.2 K12,Mumbai,19014,Petrol,1st Owner,601699
2012,Maruti,Swift ZXI,Mumbai,64239,Petrol,3rd Owner,341699
2014,Maruti,Swift Dzire VXI 1.2 BS IV,Mumbai,19856,Petrol,1st Owner,467499
2016,Maruti,Baleno ALPHA 1.2 K12,Mumbai,30261,Petrol,2nd Owner,550799
2014,Volkswagen,Polo GT TSI 1.2 PETROL AT,Mumbai,34600,Petrol,1st Owner,512299
2013,Volkswagen,Polo COMFORTLINE 1.2L PETROL,Mumbai,21404,Petrol,1st Owner,308699
2010,Maruti,Wagon R 1.0 VXI,Mumbai,23333,Petrol,2nd Owner,232599
2013,Maruti,Swift Dzire LDI BS IV,Mumbai,53065,Diesel,1st Owner,390499
2016,Maruti,Alto K10 VXI AMT,Mumbai,10523,Petrol,1st Owner,327499
2012,Maruti,Wagon R 1.0 VXI,Mumbai,41270,Petrol,2nd Owner,250999
2015,Maruti,Wagon R 1.0 LXI,Mumbai,21236,Petrol,2nd Owner,296099
2013,Volkswagen,Polo HIGHLINE1.2L PETROL,Mumbai,21789,Petrol,1st Owner,383699
2012,Honda,Brio 1.2 S MT I VTEC,Mumbai,58375,Petrol,2nd Owner,281299
2016,Maruti,Alto K10 VXI,Mumbai,18998,Petrol,2nd Owner,243199
2014,Maruti,Wagon R 1.0 VXI,Mumbai,49738,Petrol,2nd Owner,293599
2013,Honda,Amaze 1.2 SMT I VTEC,Mumbai,36720,Petrol,2nd Owner,348199
2013,Hyundai,Verna FLUIDIC 1.6 SX VTVT OPT AT,Mumbai,71880,Petrol,2nd Owner,429499
2014,Hyundai,i20 ASTA 1.2,Mumbai,23576,Petrol,1st Owner,424899
2019,Hyundai,NEW SANTRO 1.1 SPORTS AMT,Mumbai,4447,Petrol,1st Owner,487999
2015,Hyundai,Grand i10 SPORTS 1.2 VTVT,Mumbai,46809,Petrol,2nd Owner,356799
2014,Maruti,Celerio VXI AMT,Mumbai,11192,Petrol,2nd Owner,321499
2013,Honda,Amaze 1.2 SMT I VTEC,Mumbai,53411,Petrol,2nd Owner,357299
2011,Toyota,Etios G,Mumbai,69385,Petrol,1st Owner,303699
2017,Datsun,Go Plus T,Mumbai,36625,Petrol,1st Owner,376499
2014,Maruti,Wagon R 1.0 VXI,Mumbai,56827,Petrol,1st Owner,324299
2012,Maruti,Swift Dzire VXI 1.2 BS IV,Mumbai,45627,Petrol,1st Owner,358099
2010,Hyundai,i10 MAGNA 1.2,Mumbai,66817,Petrol,1st Owner,223999
2016,Hyundai,i20 Active 1.2 S,Mumbai,17868,Petrol,2nd Owner,515599
2013,Maruti,Swift Dzire VXI 1.2 BS IV,Mumbai,53681,Petrol,1st Owner,388699
2010,Mercedes,Benz CLS Class 350 BLUE EFFICIENCY,Mumbai,42372,Petrol,3rd Owner,1544199
2011,Toyota,Etios V,Mumbai,64317,Petrol,1st Owner,291399
2010,Hyundai,i10 MAGNA 1.2,Mumbai,60949,Petrol,3rd Owner,179299
2011,Toyota,Etios V,Mumbai,65882,Petrol,1st Owner,317099
2011,Maruti,Wagon R 1.0 VXI,Mumbai,69729,Petrol,1st Owner,266699
2016,Hyundai,i20 Active 1.2 S,Mumbai,22069,Petrol,2nd Owner,498899
2011,Maruti,Wagon R 1.0 VXI,Mumbai,70662,Petrol,1st Owner,268099
2015,Volkswagen,Polo HIGHLINE1.2L PETROL,Mumbai,46554,Petrol,1st Owner,424299
2012,Hyundai,i10 MAGNA 1.2 KAPPA2,Mumbai,65116,Petrol,1st Owner,283999
2012,Hyundai,i20 SPORTZ 1.2 VTVT,Mumbai,51400,Petrol,3rd Owner,287899
2017,Hyundai,Elite i20 SPORTZ 1.2,Mumbai,10302,Petrol,1st Owner,597199
2011,Maruti,Wagon R 1.0 VXI,Mumbai,59336,Petrol,1st Owner,234299
2011,Maruti,Alto K10 VXI,Mumbai,59578,Petrol,1st Owner,200399
2011,Maruti,Swift LXI,Mumbai,68103,Petrol,1st Owner,302499
2016,Hyundai,Elite i20 SPORTZ 1.2,Mumbai,32000,Petrol,2nd Owner,514099
2018,Tata,TIGOR Revotron XT,Mumbai,16715,Petrol,1st Owner,586699
2010,Maruti,Swift VXI,Mumbai,70119,Petrol,2nd Owner,234499
2009,Hyundai,i20 ASTA 1.2,Mumbai,39140,Petrol,2nd Owner,214499
2018,Maruti,Alto 800 VXI,Mumbai,4343,Petrol,1st Owner,349699
2015,Maruti,Swift Dzire VXI 1.2 BS IV,Mumbai,45897,Petrol,2nd Owner,427399
2016,Maruti,Baleno ALPHA 1.2 K12,Mumbai,23947,Petrol,1st Owner,560399
2012,Honda,City S MT PETROL,Mumbai,83929,Petrol,1st Owner,361099
2012,Hyundai,i20 SPORTZ 1.2 VTVT,Mumbai,62596,Petrol,1st Owner,330999
2014,Hyundai,Elite i20 SPORTZ (O) 1.2,Mumbai,49596,Petrol,1st Owner,479299
2017,Hyundai,Elite i20 ASTA 1.2,Mumbai,8945,Petrol,1st Owner,621399
2020,KIA,SELTOS GTX + AT PETROL,Mumbai,2787,Petrol,1st Owner,1788299
2016,Honda,Jazz 1.2 V AT,Mumbai,10430,Petrol,2nd Owner,565199
2016,Hyundai,Elite i20 SPORTZ 1.2,Mumbai,20767,Petrol,1st Owner,530999
2015,Volkswagen,Vento HIGHLINE TDI AT,Mumbai,38459,Diesel,1st Owner,582999
2014,Maruti,Swift Dzire VXI 1.2 BS IV,Mumbai,56002,Petrol,1st Owner,457499
2016,Maruti,Baleno DELTA 1.2 K12,Mumbai,20909,Petrol,1st Owner,541399
